uf,municipio,ibge,site_base,url_concursos,url_processos_seletivos,url_editais,url_convocacoes,url_diario_publicacoes,status_concursos,status_processos_seletivos,status_convocacoes,status_diario_publicacoes,confidence,method,gemini_used,notes,checked_at
RS,Aceguá,4300034,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:29.216081+00:00
RS,Água Santa,4300059,https://aguasanta.rs.gov.br/,https://aguasanta.rs.gov.br/pg.php?area=CONCURSOS,,,,,boa,nao_encontrada,nao_encontrada,nao_encontrada,0.8,heuristic+gemini,1,"A URL de concursos parece ser a seção dedicada. Não foram encontradas URLs específicas para processos seletivos, editais gerais, convocações ou diário oficial/publicações oficiais entre os candidatos fornecidos. As URLs com 'PUBLICACOES' e 'subarea' parecem ser genéricas e não indicam claramente uma seção de diário oficial ou publicações oficiais de forma estável.",2026-06-24T15:34:29.217077+00:00
RS,Agudo,4300109,https://www.agudo.rs.gov.br/,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,heuristic+gemini,1,"Nenhuma URL específica para as categorias solicitadas foi encontrada nos candidatos fornecidos, que contêm apenas a página inicial.",2026-06-24T15:34:29.217077+00:00
RS,Ajuricaba,4300208,https://www.ajuricaba.rs.gov.br/,https://www.ajuricaba.rs.gov.br/concursos-publicos,https://www.ajuricaba.rs.gov.br/processos-seletivos,https://www.ajuricaba.rs.gov.br/edital,https://www.ajuricaba.rs.gov.br/nomeacoes,https://www.ajuricaba.rs.gov.br/diario-oficial,boa,boa,boa,boa,0.55,heuristic,0,,2026-06-24T15:34:29.218287+00:00
RS,Alecrim,4300307,https://www.alecrim.rs.gov.br/site,http://www.alecrim.rs.gov.br/site/concursos,,http://www.alecrim.rs.gov.br/site/editais,,,boa,nao_encontrada,nao_encontrada,nao_encontrada,0.8,heuristic+gemini,1,"A URL de concursos parece ser a seção geral. A URL de editais também parece ser uma seção geral. Não foram encontradas URLs específicas para processos seletivos, convocações ou diário oficial.",2026-06-24T15:34:29.219454+00:00
RS,Alegrete,4300406,https://www.alegrete.rs.gov.br/,https://www.alegrete.rs.gov.br/arquivos/lista/40420?concurso,,https://www.alegrete.rs.gov.br/arquivos/lista/40151?editais,,,boa,nao_encontrada,nao_encontrada,nao_encontrada,0.7,heuristic+gemini,1,"URL para concursos e editais gerais encontradas. Processos seletivos, convocações e diário oficial não foram encontrados explicitamente nos candidatos.",2026-06-24T15:34:29.219454+00:00
RS,Alegria,4300455,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:29.220962+00:00
RS,Almirante Tamandaré do Sul,4300471,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:29.222022+00:00
RS,Alpestre,4300505,https://www.alpestre.rs.gov.br/,https://www.alpestre.rs.gov.br/concursos-publicos,https://www.alpestre.rs.gov.br/processos-seletivos,https://www.alpestre.rs.gov.br/edital,https://www.alpestre.rs.gov.br/nomeacoes,https://www.alpestre.rs.gov.br/diario-oficial,boa,boa,boa,boa,0.55,heuristic,0,,2026-06-24T15:34:29.328765+00:00
RS,Alto Alegre,4300554,https://altoalegre.rs.gov.br/,,,https://altoalegre.rs.gov.br/publicacoes.php,,https://altoalegre.rs.gov.br/publicacoes.php,nao_encontrada,nao_encontrada,nao_encontrada,boa,0.5,heuristic+gemini,1,"Apenas a URL para publicações oficiais foi encontrada com clareza. As demais seções (concursos, processos seletivos, editais gerais, convocações) não foram identificadas nos candidatos fornecidos.",2026-06-24T15:34:29.328765+00:00
RS,Alto Feliz,4300570,https://www.altofeliz.rs.gov.br/web,,,https://www.altofeliz.rs.gov.br/web,https://www.altofeliz.rs.gov.br/web,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0.7,heuristic+gemini,1,"Apenas 'Editais' foi encontrado, sem seções específicas para concursos, processos seletivos, convocações ou diário oficial.",2026-06-24T15:34:30.317115+00:00
RS,Alvorada,4300604,,,,,,,nao_encontrada,nao_encontrada,nao_encontrada,nao_encontrada,0,site_not_found,0,,2026-06-24T15:34:32.072633+00:00
