uf,municipio,site_base,url_concursos,confianza_concursos,url_processos_seletivos,confianza_processos,urls_extras_concursos,urls_extras_processos,tier_concursos,tier_processos,method,razao,notes,checked_at
RS,Aceguá,http://acegua.rs.gov.br,,,,,,,,,t0+t1+t2+t2dir+t2dir+t4,,1 candidates (0 fetchable); no valid index page found,2026-06-27T07:15:37.164146+00:00
RS,Água Santa,https://www.aguasanta.rs.gov.br,https://www.aguasanta.rs.gov.br/pg.php?area=PUBLICACOES&subarea=17&ano=0,confirmado,https://www.aguasanta.rs.gov.br/pg.php?area=PUBLICACOES&subarea=18&ano=0,confirmado,https://www.aguasanta.rs.gov.br/pg.php?area=CONCURSOS | https://www.aguasanta.rs.gov.br/pg.php?area=PUBLICACOES&subarea=17&ano=2026 | https://www.aguasanta.rs.gov.br/pg.php?area=PUBLICACOES&subarea=44&ano=2026 | https://www.aguasanta.rs.gov.br/pg.php?area=PUBLICACOES&subarea=18&ano=2026 | https://sistema.sinsoft.com.br/portal.aguasanta-rs/concursoseeditais.aspx,https://www.aguasanta.rs.gov.br/pg.php?area=PUBLICACOES&subarea=18&ano=2026,t1,t1,t0+t1+t3,[t1] URLs específicas e canônicas (todos os anos) para concursos públicos e processos seletivos.,8 candidates (8 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Agudo,https://www.agudo.rs.gov.br,https://www.agudo.rs.gov.br/portal-da-transparencia/concursos-publicos,confirmado,https://www.agudo.rs.gov.br/portal-da-transparencia/processos-seletivos,confirmado,,,t1,t1,t0+t1+t3,"[t1] As páginas são índices específicos e separados para concursos e processos seletivos, conforme as regras.",2 candidates (2 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Ajuricaba,https://www.ajuricaba.rs.gov.br,https://www.ajuricaba.rs.gov.br/concurso/categoria/25/concurso/,confirmado,https://www.ajuricaba.rs.gov.br/concurso/categoria/24/processo-seletivo/,confirmado,https://www.ajuricaba.rs.gov.br/noticia/1030/conhecidas-as-fotos-vencedoras-do-concurso-fotografico-ajuricaba-em-foto | https://www.ajuricaba.rs.gov.br/concurso/detalhe/290/pprocesso-seletivo-0032026-agente-comunitario-de-saudep | https://www.ajuricaba.rs.gov.br/concurso/detalhe/289/pspan-stylebackground-colorrgb255255255colorrgb515151convoca-candidata-aprovada-no-concurso-publiconbspspanp | https://www.ajuricaba.rs.gov.br/concurso/detalhe/288/pconcursonbspp | https://www.ajuricaba.rs.gov.br/concurso/detalhe/287/pnomeianbspp,https://www.ajuricaba.rs.gov.br/concurso/detalhe/290/pprocesso-seletivo-0032026-agente-comunitario-de-saudep | https://www.ajuricaba.rs.gov.br/concurso/detalhe/285/pstrongeditais-do-processo-seletivo-simplificado-n-022026-para-a-funcao-de-enfermeirostrongp,t1,t1,t0+t1+t3,"[t1] URLs [9] e [10] são páginas de categoria específicas para Processos Seletivos e Concursos, respectivamente, sendo mais adequadas que a página genérica.",13 candidates (13 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Alecrim,https://www.alecrim.rs.gov.br/site,http://www.alecrim.rs.gov.br/site/concursos,confirmado,http://www.alecrim.rs.gov.br/site/editais?pagina=1&tipo=1405&busca=,confirmado,https://www.alecrim.rs.gov.br/site/conteudos/1651-legislacao-concurso-publico-2016 | https://www.alecrim.rs.gov.br/site/concursos/2403-concurso-publico-2018 | https://www.alecrim.rs.gov.br/site/conteudos/1006-legislacao-para-concurso-publico-2015 | http://www.alecrim.rs.gov.br/site/conteudos/1651-legislacao-concurso-publico-2016 | http://www.alecrim.rs.gov.br/site/conteudos/1006-legislacao-para-concurso-publico-2015,http://www.alecrim.rs.gov.br/site/editais?pagina=1&tipo=1298&busca= | http://www.alecrim.rs.gov.br/site/editais?pagina=1&tipo=1401&busca= | http://www.alecrim.rs.gov.br/site/editais?pagina=1&tipo=1354&busca= | http://www.alecrim.rs.gov.br/site/editais/14075-processo-seletivo-simplificado-n-022025 | http://www.alecrim.rs.gov.br/site/editais/14076-processo-seletivo-simplificado-n-032025,t1,t1,t0+t1+t3,[t1] URL [3] é a página raiz de concursos; URL [9] é a listagem mais ampla de processos seletivos por categoria.,24 candidates (24 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Alegrete,https://www.alegrete.rs.gov.br,https://www.alegrete.rs.gov.br/arquivos/lista/40420?concurso,confirmado,https://www.alegrete.rs.gov.br/arquivos/lista/41136/processos-seletivos,confirmado,,,t1,t4,t0+t1+t3+t2+t2dir+t4,"[t1] É uma lista de arquivos filtrada por 'concurso público', conforme o menu e URL. | [t4] URL é uma listagem específica para processos seletivos; nenhuma URL para concursos foi fornecida.",4 candidates (2 fetchable); verify_p: URL indica listagem de processos seletivos no domínio oficial.,2026-06-26T22:33:06.464294+00:00
RS,Alegria,https://pmalegria.rs.gov.br/site,https://pmalegria.rs.gov.br/site/concursos,confirmado,https://pmalegria.rs.gov.br/site/concursos,confirmado,https://pmalegria.rs.gov.br/site/concursos/6006-concurso-p | https://pmalegria.rs.gov.br/site/concursos/4275-processo-s | https://pmalegria.rs.gov.br/site/concursos/3822-concurso-publico-n&#176;012020 | https://pmalegria.rs.gov.br/site/concursos/3197-edital-n-0 | https://pmalegria.rs.gov.br/site/concursos/3313-processo-s,https://pmalegria.rs.gov.br/site/concursos/3171-processo-seletivo-012019 | https://pmalegria.rs.gov.br/site/concursos/2791-processo-seletivo-112018 | https://pmalegria.rs.gov.br/site/concursos/2428-processo-seletivo-082018 | https://pmalegria.rs.gov.br/site/concursos/2263-processo-seletivo-052018 | https://pmalegria.rs.gov.br/site/concursos/2186-processo-seletivo-0042018,t1,t1,t0+t1+t3,"[t1] É a única URL de listagem geral para concursos e processos seletivos, as outras são editais individuais.",13 candidates (13 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Almirante Tamandaré Do Sul,https://almirantetamandaredosul.rs.gov.br,https://almirantetamandaredosul.rs.gov.br/documentos/concursos-publicos,confirmado,https://almirantetamandaredosul.rs.gov.br/documentos/editais,confirmado,,https://almirantetamandaredosul.rs.gov.br/noticias/resultado-final-do-processo-seletivo-agente-comunitario-de-saude-e-operador-de-maquinas,t1,t2,t0+t1+t3+t2,[t1] A URL é uma página de índice dedicada a concursos públicos; não há URL específica para processos seletivos. | [t2] É a única página de listagem de editais que pode incluir concursos e PSS.,"4 candidates (3 fetchable); verify_p: Página genérica de documentos/editais, não específica para processos seletivos. | rev_humana(Chrome): /documentos/editais lista multiplos Edital de Processo Seletivo Simplificado, ascendido a confirmado",2026-06-26T22:33:06.464294+00:00
RS,Alpestre,https://www.alpestre.rs.gov.br,https://www.alpestre.rs.gov.br/concurso/categoria/25/concurso/,confirmado,https://www.alpestre.rs.gov.br/concurso/categoria/24/processo-seletivo/,confirmado,https://www.alpestre.rs.gov.br/concurso | https://www.alpestre.rs.gov.br/concurso/detalhe/152/pedital-n-00826-iprorroga-a-validade-do-concurso-publico-n012024nbspip | https://www.alpestre.rs.gov.br/concurso/detalhe/150/h5span-stylebackground-colorhsl00100colorblackstrongedital-n-0212025-strongspaniprocesso-seletivo-para-contratacao-de-gariih5 | https://www.alpestre.rs.gov.br/concurso/detalhe/148/edital-de-processo-seletivo-de-estagiarios-n-0192025 | https://www.alpestre.rs.gov.br/concurso/detalhe/147/pedital-de-chamada-publica-n-0122025p,https://www.alpestre.rs.gov.br/concurso/detalhe/150/h5span-stylebackground-colorhsl00100colorblackstrongedital-n-0212025-strongspaniprocesso-seletivo-para-contratacao-de-gariih5 | https://www.alpestre.rs.gov.br/concurso/detalhe/148/edital-de-processo-seletivo-de-estagiarios-n-0192025 | https://www.alpestre.rs.gov.br/concurso/detalhe/147/pedital-de-chamada-publica-n-0122025p | https://www.alpestre.rs.gov.br/concurso/detalhe/145/pstrongedital-n-0102025-strongiedital-de-processo-seletivo-simplificado-para-contratacao-temporarianbspip | https://www.alpestre.rs.gov.br/concurso/detalhe/144/pstrongedital-de-processo-seletivo-de-estagiarios-n-0092025strongp,t1,t1,t0+t1+t3,[t1] Páginas de categoria específicas são melhores que a raiz genérica para concursos e processos seletivos.,10 candidates (10 fetchable),2026-06-26T22:33:06.464294+00:00
RS,Alto Alegre,https://altoalegre.rs.gov.br,https://altoalegre.rs.gov.br/publicacoes-exibir.php?tipo=13&amp;sessao=concurso-publico,confirmado,https://altoalegre.rs.gov.br/publicacoes-exibir.php?tipo=12&amp;sessao=processo-seletivo,confirmado,,https://altoalegre.rs.gov.br/publicacoes-exibir.php?tipo=43&amp;sessao=editais-de-convocacao-processo-seletivo | https://altoalegre.rs.gov.br/publicacao.php?exibir=2251&amp;titulo=termo-de-retificacao-do-edital-de-processo-seletivo-simplificado-n-06-2026 | https://altoalegre.rs.gov.br/publicacao.php?exibir=2249&amp;titulo=edital-de-processo-seletivo-simplificado-n-06-2026 | https://altoalegre.rs.gov.br/publicacao.php?exibir=2247&amp;titulo=edital-de-resultado-final-de-inscricoes-n-02-2026-edital-de-processo-seletivo-simplificado-n-05-2026,t1,t1,t0+t1+t3,"[t1] URLs escolhidas são páginas índice específicas e mais abrangentes para cada tipo, rejeitando documentos individuais.",6 candidates (6 fetchable),2026-06-26T22:33:06.464294+00:00
