municipio,host,evidencia,verificado_por,fecha
Aceguá,acegua.atende.net,golden_set_v1.csv fila 2 columna site_base,Luis (golden manual),2026-07-12
Araricá,ararica.rs.gov.br,golden_set_v1.csv fila 3 columna site_base,Luis (golden manual),2026-07-12
André da Rocha,andredarocha.rs.gov.br,golden_set_v1.csv fila 4 columna site_base,Luis (golden manual),2026-07-12
Almirante Tamandaré do Sul,almirantetamandaredosul.rs.gov.br,golden_set_v1.csv fila 5 columna site_base,Luis (golden manual),2026-07-12
Alvorada,alvorada.rs.gov.br,golden_set_v1.csv fila 6 columna site_base,Luis (golden manual),2026-07-12
Arambaré,arambare.rs.gov.br,golden_set_v1.csv fila 7 columna site_base,Luis (golden manual),2026-07-12
Anta Gorda,antagorda.rs.gov.br,golden_set_v1.csv fila 8 columna site_base,Luis (golden manual),2026-07-12
Aratiba,pmaratiba.rs.gov.br,golden_set_v1.csv fila 9 columna site_base,Luis (golden manual),2026-07-12
Gramado,gramado.atende.net,golden_set_v1.csv fila 10 columna site_base,Luis (golden manual),2026-07-12
Bagé,bage.rs.gov.br,golden_set_v1.csv fila 11 columna site_base,Luis (golden manual),2026-07-12
Bento Gonçalves,bentogoncalves.rs.gov.br,golden_set_v1.csv fila 12 columna site_base,Luis (golden manual),2026-07-12
Bento Gonçalves,bentogoncalves.oxy.elotech.com.br,golden_set_v1.csv fila 12 columna url_concursos,Luis (golden manual),2026-07-12
Itaqui,itaqui.rs.gov.br,golden_set_v1.csv fila 13 columna site_base,Luis (golden manual),2026-07-12
Santa Maria,santamaria.rs.gov.br,golden_set_v1.csv fila 14 columna site_base,Luis (golden manual),2026-07-12
Canoas,canoas.rs.gov.br,golden_set_v1.csv fila 15 columna site_base,Luis (golden manual),2026-07-12
Porto Alegre,prefeitura.poa.br,golden_set_v1.csv fila 16 columna site_base,Luis (golden manual),2026-07-12
Passo Fundo,pmpf.rs.gov.br,golden_set_v1.csv fila 17 columna site_base,Luis (golden manual),2026-07-12
Novo Hamburgo,novohamburgo.rs.gov.br,golden_set_v1.csv fila 18 columna site_base,Luis (golden manual),2026-07-12
Caxias do Sul,caxias.rs.gov.br,golden_set_v1.csv fila 19 columna site_base,Luis (golden manual),2026-07-12
Pelotas,pelotas.com.br,golden_set_v1.csv fila 20 columna site_base,Luis (golden manual),2026-07-12
Gravataí,gravatai.atende.net,golden_set_v1.csv fila 21 columna site_base,Luis (golden manual),2026-07-12
Viamão,viamao.rs.gov.br,golden_set_v1.csv fila 22 columna site_base,Luis (golden manual),2026-07-12
São Leopoldo,saoleopoldo.rs.gov.br,golden_set_v1.csv fila 23 columna site_base,Luis (golden manual),2026-07-12
São Leopoldo,grp.saoleopoldo.rs.gov.br,golden_set_v1.csv fila 23 columna url_concursos,Luis (golden manual),2026-07-12
Itaara,itaara.rs.gov.br,golden_set_v1.csv fila 24 columna site_base,Luis (golden manual),2026-07-12
São Pedro do Sul,saopedrodosul.atende.net,golden_set_v1.csv fila 25 columna site_base,Luis (golden manual),2026-07-12
